permit_number,jurisdiction,state,file_date,issue_date,final_date,status,type,subtype,description,job_value,residential,owner_name,contractor_name,contractor_license,street_no,street,city,zipcode,source_url,scraped_at,record_id
B25-0874,Paso Robles,CA,2025-09-02,,,final,"Mechanical, Plumbing, Electrical",,,,,,,,1310,WHITE CLOVER LN,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001E1&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,6bf46dec5117a97e
B25-0875,Paso Robles,CA,2025-09-02,,,withdrawn,Residential New / Single Family,,,,True,,,,240,VIA PROMESA DR,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001E2&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,895be66704b749b8
B25-0881,Paso Robles,CA,2025-09-02,,,withdrawn,"Mechanical, Plumbing, Electrical",,PV & ESS,,,,,,5955,WHISPERING OAK WY,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001EU&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,efd1850dfecddff9
B25-0880,Paso Robles,CA,2025-09-02,,,withdrawn,"Mechanical, Plumbing, Electrical",,ESS,,,,,,7990,"SUNDANCE, United States",El Paso De Robles,,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001ET&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,91f5870d21501e10
B25-0879,Paso Robles,CA,2025-09-02,,,final,Residential Remodel/Addition / Single Family,,Unconditioned Storage Space in Underfloor Area - 1018 Rachel Lane,,True,,,,1018,RACHEL LN,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001ED&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,286b4de364e1f4f7
B25-0878,Paso Robles,CA,2025-09-02,,,withdrawn,Residential Remodel/Addition / Second Unit,,Convert existing garage to ADU.,,True,,,,2005,Oak ST,Paso Robles,,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001EC&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,2c974309943d3dd2
B25-0877,Paso Robles,CA,2025-09-02,,,final,"Mechanical, Plumbing, Electrical",,PV & ESS,,,,,,2145,VINE ST,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001E7&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,1b6918788f2c35f3
B25-0873,Paso Robles,CA,2025-09-02,,,final,"Mechanical, Plumbing, Electrical",,PV & ESS,,,,,,2619,BEECHWOOD DR,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001DY&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,2cf18265838083bb
B25-0872,Paso Robles,CA,2025-08-31,,,final,"Mechanical, Plumbing, Electrical",,,,,,,,500,FERRO LN,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001DX&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,2c824d44d328fcf9
F25-0212,Paso Robles,CA,2025-08-30,,,final,Fire Permit / Commercial / T19-5 Year,,Title 19 (Sprinklers and Hydrants),,False,,,,1457,CRESTON RD,PASO ROBLES,93446,https://aca-prod.accela.com/PRCITY/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=25REC&capID2=00000&capID3=001DW&agencyCode=PRCITY&IsToShowInspection=,2026-08-27T18:57:04Z,b87e15fcfa85858e
